code,baseyear,lineupyear,survname,welfaretype,sample,vintage,geo_code,poor215_ln,poor365_ln,poor685_ln,prosgap2017,geo_code2_new
AGO,2008,2010,IBEP-MICS,CONS,Cabinda,Fall 2024,AGO_2015_GAUL1_401,0.0198,0.1877,0.6059,4.528758,AGO_2015_ADM1_401
AGO,2008,2010,IBEP-MICS,CONS,Huambo,Fall 2024,AGO_2015_GAUL1_405,0.2768,0.6731,0.8902,8.7654724,AGO_2015_ADM1_405
AGO,2008,2010,IBEP-MICS,CONS,Bie,Fall 2024,AGO_2015_GAUL1_400,0.4824,0.7639,0.9342,11.934178,AGO_2015_ADM1_400
AGO,2008,2010,IBEP-MICS,CONS,Moxico,Fall 2024,AGO_2015_GAUL1_412,0.1623,0.4767,0.808,7.1955149,AGO_2015_ADM1_412
AGO,2008,2010,IBEP-MICS,CONS,Cuando Cubango,Fall 2024,AGO_2015_GAUL1_402,0.2624,0.5603,0.8558,8.7420545,AGO_2015_ADM1_402
AGO,2008,2010,IBEP-MICS,CONS,Namibe,Fall 2024,AGO_2015_GAUL1_413,0.1514,0.4149,0.7353,6.80962,AGO_2015_ADM1_413
AGO,2008,2010,IBEP-MICS,CONS,Huila,Fall 2024,AGO_2015_GAUL1_406,0.1705,0.4546,0.7878,7.3502695,AGO_2015_ADM1_406
AGO,2008,2010,IBEP-MICS,CONS,Cunene,Fall 2024,AGO_2015_GAUL1_404,0.1237,0.3522,0.685,6.0858262,AGO_2015_ADM1_404
AGO,2008,2010,IBEP-MICS,CONS,Lunda Sul,Fall 2024,AGO_2015_GAUL1_410,0.3847,0.7113,0.9155,10.533193,AGO_2015_ADM1_410
AGO,2008,2010,IBEP-MICS,CONS,Bengo,Fall 2024,AGO_2015_GAUL1_398,0.1219,0.435,0.802,6.8944264,AGO_2015_ADM1_398
AGO,2008,2010,IBEP-MICS,CONS,Zaire,Fall 2024,AGO_2015_GAUL1_415,0.1039,0.316,0.7009,5.9707023,AGO_2015_ADM1_415
AGO,2008,2010,IBEP-MICS,CONS,Uige,Fall 2024,AGO_2015_GAUL1_414,0.1685,0.5093,0.8312,7.5876656,AGO_2015_ADM1_414
AGO,2008,2010,IBEP-MICS,CONS,Luanda,Fall 2024,AGO_2015_GAUL1_408,0.0129,0.1192,0.4594,3.9474556,AGO_2015_ADM1_408
AGO,2008,2010,IBEP-MICS,CONS,Kuanza Norte,Fall 2024,AGO_2015_GAUL1_407,0.1706,0.5516,0.8579,7.5499686,AGO_2015_ADM1_407
AGO,2008,2010,IBEP-MICS,CONS,Cuanza Sul,Fall 2024,AGO_2015_GAUL1_403,0.1131,0.42,0.7426,6.3730729,AGO_2015_ADM1_403
