code,baseyear,lineupyear,survname,welfaretype,sample,vintage,geo_code,poor215_ln,poor365_ln,poor685_ln,prosgap2017,geo_code2_new
AGO,2018,2021,IDREA,CONS,Cabinda,Fall 2024,AGO_2015_GAUL1_401,0.1363,0.3892,0.6346,6.8955089,AGO_2015_ADM1_401
AGO,2018,2021,IDREA,CONS,Huambo,Fall 2024,AGO_2015_GAUL1_405,0.4924,0.7388,0.9079,15.360056,AGO_2015_ADM1_405
AGO,2018,2021,IDREA,CONS,Bie,Fall 2024,AGO_2015_GAUL1_400,0.453,0.6706,0.8505,13.790279,AGO_2015_ADM1_400
AGO,2018,2021,IDREA,CONS,Moxico,Fall 2024,AGO_2015_GAUL1_412,0.5488,0.7731,0.9156,15.663078,AGO_2015_ADM1_402
AGO,2018,2021,IDREA,CONS,Cuando Cubango,Fall 2024,AGO_2015_GAUL1_402,0.4775,0.735,0.9276,14.861376,AGO_2015_ADM1_413
AGO,2018,2021,IDREA,CONS,Namibe,Fall 2024,AGO_2015_GAUL1_413,0.2712,0.5919,0.866,11.52461,AGO_2015_ADM1_413
AGO,2018,2021,IDREA,CONS,Huila,Fall 2024,AGO_2015_GAUL1_406,0.4912,0.6843,0.8606,18.439223,AGO_2015_ADM1_404
AGO,2018,2021,IDREA,CONS,Cunene,Fall 2024,AGO_2015_GAUL1_404,0.588,0.799,0.9317,18.303556,AGO_2015_ADM1_404
AGO,2018,2021,IDREA,CONS,Lunda Sul,Fall 2024,AGO_2015_GAUL1_410,0.4684,0.6721,0.8853,16.049218,AGO_2015_ADM1_410
AGO,2018,2021,IDREA,CONS,Bengo,Fall 2024,AGO_2015_GAUL1_398,0.3751,0.5864,0.7558,10.924294,AGO_2015_ADM1_398
AGO,2018,2021,IDREA,CONS,Zaire,Fall 2024,AGO_2015_GAUL1_415,0.1719,0.3879,0.6893,7.3839599,AGO_2015_ADM1_415
AGO,2018,2021,IDREA,CONS,Uige,Fall 2024,AGO_2015_GAUL1_414,0.4493,0.702,0.9076,13.226296,AGO_2015_ADM1_414
AGO,2018,2021,IDREA,CONS,Luanda,Fall 2024,AGO_2015_GAUL1_408,0.0963,0.3173,0.6785,6.1759807,AGO_2015_ADM1_408
AGO,2018,2021,IDREA,CONS,Kuanza Norte,Fall 2024,AGO_2015_GAUL1_407,0.4206,0.6685,0.8883,12.727044,AGO_2015_ADM1_407
AGO,2018,2021,IDREA,CONS,Cuanza Sul,Fall 2024,AGO_2015_GAUL1_403,0.5499,0.7908,0.9367,17.592949,AGO_2015_ADM1_403
AGO,2018,2021,IDREA,CONS,Malanje,Fall 2024,AGO_2015_GAUL1_411,0.4857,0.7056,0.9006,15.381847,AGO_2015_ADM1_411
AGO,2018,2021,IDREA,CONS,Lunda Norte,Fall 2024,AGO_2015_GAUL1_409,0.3054,0.5508,0.7953,11.545773,AGO_2015_ADM1_409
AGO,2018,2021,IDREA,CONS,Benguela,Fall 2024,AGO_2015_GAUL1_399,0.4163,0.6002,0.8011,12.146668,AGO_2015_ADM1_399
ALB,2020,2021,HBS,CONS,Berat (AL031),Fall 2024,ALB_2021_NUTS3_AL031,0,0,0.043,2.0881761,ALB_2015_ADMx_3_1
ALB,2020,2021,HBS,CONS,Shkodër (AL015),Fall 2024,ALB_2021_NUTS3_AL015,0,0.0274,0.2139,2.7052837,ALB_2015_ADMx_3_10
ALB,2020,2021,HBS,CONS,Tiranë (AL022),Fall 2024,ALB_2021_NUTS3_AL022,0.0007,0.0061,0.0735,2.0026455,ALB_2015_ADMx_3_11
ALB,2020,2021,HBS,CONS,Vlorë (AL035),Fall 2024,ALB_2021_NUTS3_AL035,0,0.0348,0.1909,2.6030337,ALB_2015_ADMx_3_12
ALB,2020,2021,HBS,CONS,Dibër (AL011),Fall 2024,ALB_2021_NUTS3_AL011,0,0.0323,0.1921,2.7936705,ALB_2015_ADMx_3_2
ALB,2020,2021,HBS,CONS,Durrës (AL012),Fall 2024,ALB_2021_NUTS3_AL012,0,0.0279,0.1879,2.6215801,ALB_2015_ADMx_3_3
ALB,2020,2021,HBS,CONS,Elbasan (AL021),Fall 2024,ALB_2021_NUTS3_AL021,0,0.0022,0.113,2.3560255,ALB_2015_ADMx_3_4
ALB,2020,2021,HBS,CONS,Fier (AL032),Fall 2024,ALB_2021_NUTS3_AL032,0,0.014,0.1312,2.346272,ALB_2015_ADMx_3_5
ALB,2020,2021,HBS,CONS,Gjirokastër (AL033),Fall 2024,ALB_2021_NUTS3_AL033,0,0,0.055,1.8448861,ALB_2015_ADMx_3_6
ALB,2020,2021,HBS,CONS,Korcë (AL034),Fall 2024,ALB_2021_NUTS3_AL034,0,0.0054,0.0971,2.0625689,ALB_2015_ADMx_3_7
ALB,2020,2021,HBS,CONS,Kukës (AL013),Fall 2024,ALB_2021_NUTS3_AL013,0,0.0238,0.2643,2.9136545,ALB_2015_ADMx_3_8
ALB,2020,2021,HBS,CONS,Lezhë (AL014),Fall 2024,ALB_2021_NUTS3_AL014,0,0,0.1103,2.2980267,ALB_2015_ADMx_3_9
ARE,2018,2021,HIES,INC,National,Fall 2024,ARE_2020_WB0,0,0,0.0041,,
ARG,2021,2021,EPHC-S2,INC,National,Fall 2024,ARG_2020_WB0,0.0089,0.028,0.1143,2.1333469,
ARM,2021,2021,ILCS,CONS,Yerevan,Fall 2024,ARM_2015_GAUL1_464,0.0015,0.0063,0.363,3.2627874,ARM_2015_ADM1_464
ARM,2021,2021,ILCS,CONS,Vayots Dzor,Fall 2024,ARM_2015_GAUL1_463,0,0.0538,0.6598,4.2485088,ARM_2015_ADM1_463
ARM,2021,2021,ILCS,CONS,Tavush,Fall 2024,ARM_2015_GAUL1_462,0,0.1201,0.5779,4.2878995,ARM_2015_ADM1_462
ARM,2021,2021,ILCS,CONS,Aragatsotn,Fall 2024,ARM_2015_GAUL1_453,0,0,0.5284,3.8146247,ARM_2015_ADM1_453
ARM,2021,2021,ILCS,CONS,Ararat,Fall 2024,ARM_2015_GAUL1_454,0.0056,0.0688,0.5137,4.0808496,ARM_2015_ADM1_454
ARM,2021,2021,ILCS,CONS,Armavir,Fall 2024,ARM_2015_GAUL1_455,0.0087,0.1368,0.6442,4.6747402,ARM_2015_ADM1_455
ARM,2021,2021,ILCS,CONS,Gergharkunik,Fall 2024,ARM_2015_GAUL1_456,0.0074,0.1918,0.7346,5.1566761,ARM_2015_ADM1_456
ARM,2021,2021,ILCS,CONS,Lori,Fall 2024,ARM_2015_GAUL1_458,0.0052,0.0939,0.5115,4.0781666,ARM_2015_ADM1_458
ARM,2021,2021,ILCS,CONS,Kotayk,Fall 2024,ARM_2015_GAUL1_457,0,0.0657,0.4856,3.9795094,ARM_2015_ADM1_457
ARM,2021,2021,ILCS,CONS,Shirak,Fall 2024,ARM_2015_GAUL1_460,0.026,0.2887,0.7144,5.4520314,ARM_2015_ADM1_460
ARM,2021,2021,ILCS,CONS,Syunik,Fall 2024,ARM_2015_GAUL1_461,0,0,0.3214,3.4280651,ARM_2015_ADM1_461
AUS,2018,2021,SIH-LIS,INC,New South Wales,Fall 2024,AUS_2015_GAUL1_470,0.007,0.0074,0.01,,AUS_2015_ADM1_470
AUS,2018,2021,SIH-LIS,INC,Victoria,Fall 2024,AUS_2015_GAUL1_476,0.0022,0.0039,0.0079,,AUS_2015_ADM1_476
AUS,2018,2021,SIH-LIS,INC,Queensland,Fall 2024,AUS_2015_GAUL1_473,0.0068,0.0076,0.0114,,AUS_2015_ADM1_473
AUS,2018,2021,SIH-LIS,INC,South Australia,Fall 2024,AUS_2015_GAUL1_474,0.0045,0.0047,0.0078,,AUS_2015_ADM1_474
AUS,2018,2021,SIH-LIS,INC,Western Australia,Fall 2024,AUS_2015_GAUL1_477,0.0055,0.0091,0.0153,,AUS_2015_ADM1_477
AUS,2018,2021,SIH-LIS,INC,Tasmania,Fall 2024,AUS_2015_GAUL1_475,0.0022,0.0028,0.0091,,AUS_2015_ADM1_475
AUS,2018,2021,SIH-LIS,INC,Northern Territory,Fall 2024,AUS_2015_GAUL1_471,0.0027,0.0027,0.0184,,AUS_2015_ADM1_471_1
AUS,2018,2021,SIH-LIS,INC,Australian Capital Territory,Fall 2024,AUS_2015_GAUL1_468,0.0009,0.0014,0.0014,,AUS_2015_ADM1_468
AUT,2021,2021,EU-SILC,INC,Ostösterreich (AT1),Fall 2024,AUT_2021_NUTS1_AT1,0.0087,0.0087,0.0153,1.4338509,AUT_2015_ADMx_NUTS_AT1
AUT,2021,2021,EU-SILC,INC,Südösterreich (AT2),Fall 2024,AUT_2021_NUTS1_AT2,0.003,0.003,0.0053,0.81445086,AUT_2015_ADMx_NUTS_AT2
AUT,2021,2021,EU-SILC,INC,Westösterreich (AT3),Fall 2024,AUT_2021_NUTS1_AT3,0.0027,0.0027,0.0098,0.85766345,AUT_2015_ADMx_NUTS_AT3
AZE,2005,2021,HBS,CONS,Nakhchivan,Fall 2024,AZE_2015_GAUL1_147304,0,0.0012,0.0038,1.9850982,AZE_2015_ADM1_147304
AZE,2005,2021,HBS,CONS,Absheron,Fall 2024,AZE_2015_GAULx_147297,0,0,0,1.6344714,AZE_2015_ADM1_147297
AZE,2005,2021,HBS,CONS,Ganja-Gazakh,Fall 2024,AZE_2015_GAUL1_147300,0,0.0093,0.0234,2.0339531,AZE_2015_ADM1_147300
AZE,2005,2021,HBS,CONS,Shaki-Zaqatala,Fall 2024,AZE_2015_GAUL1_147305,0,0,0.0186,1.9646625,AZE_2015_ADM1_147305
AZE,2005,2021,HBS,CONS,Lankaran,Fall 2024,AZE_2015_GAUL1_147303,0,0,0.007,2.1231505,AZE_2015_ADM1_147303
AZE,2005,2021,HBS,CONS,Guba-Khachmaz,Fall 2024,AZE_2015_GAUL1_147301,0,0.0045,0.0045,2.1015921,AZE_2015_ADM1_147301
AZE,2005,2021,HBS,CONS,Aran,Fall 2024,AZE_2015_GAUL1_147298,0,0.0051,0.0134,1.9760117,AZE_2015_ADM1_147298
AZE,2005,2021,HBS,CONS,Yukhari Garabakh,Fall 2024,AZE_2015_GAUL1_147306,0,0.0078,0.0798,2.1599765,AZE_2015_ADM1_147306
AZE,2005,2021,HBS,CONS,Baku,Fall 2024,AZE_2015_GAUL2_495,0,0,0.0007,1.545736,AZE_2015_ADM2_495
AZE,2005,2021,HBS,CONS,Daghlig Shirvan,Fall 2024,AZE_2015_GAUL1_147299,0,0.0045,0.0435,2.0204258,AZE_2015_ADM1_147299
BDI,2020,2021,EICVMB,CONS,Bubanza,Fall 2024,BDI_2015_GAUL1_40542,0.7048,0.9259,0.9881,17.267535,BDI_2017_ADM1_1
BDI,2020,2021,EICVMB,CONS,Makamba,Fall 2024,BDI_2015_GAUL1_40552,0.6188,0.8568,0.974,14.506518,BDI_2017_ADM1_10
BDI,2020,2021,EICVMB,CONS,Muramvya,Fall 2024,BDI_2015_GAUL1_40553,0.7898,0.9624,0.9955,19.261133,BDI_2017_ADM1_11
BDI,2020,2021,EICVMB,CONS,Muyinga,Fall 2024,BDI_2015_GAUL1_40554,0.7069,0.92,0.9809,18.696018,BDI_2017_ADM1_12
BDI,2020,2021,EICVMB,CONS,Mwaro,Fall 2024,BDI_2015_GAUL1_40555,0.601,0.8772,0.9851,15.742013,BDI_2017_ADM1_13
BDI,2020,2021,EICVMB,CONS,Ngozi,Fall 2024,BDI_2015_GAUL1_40556,0.6285,0.89,0.9777,16.899297,BDI_2017_ADM1_14
BDI,2020,2021,EICVMB,CONS,Rutana,Fall 2024,BDI_2015_GAUL1_40557,0.8416,0.9433,0.9975,20.590979,BDI_2017_ADM1_15
BDI,2020,2021,EICVMB,CONS,Ruyigi,Fall 2024,BDI_2015_GAUL1_40558,0.8205,0.9593,0.9857,21.346683,BDI_2017_ADM1_16
BDI,2020,2021,EICVMB,CONS,Bujumbura Mairie,Fall 2024,BDI_2015_GAUL1_40543,0.1272,0.3608,0.7564,6.91138,BDI_2017_ADM1_17
BDI,2020,2021,EICVMB,CONS,Buyengero & Burambi & Rumonge & Bugarama & Muhuta,Fall 2024,BDI_2015_GAULx_18,0.6089,0.8753,0.9829,15.31842,BDI_2017_ADM1_18
BDI,2020,2021,EICVMB,CONS,Bujumbura Rural,Fall 2024,BDI_2015_GAULx_40544,0.5627,0.8432,0.9791,14.63172,BDI_2017_ADM1_2
BDI,2020,2021,EICVMB,CONS,Bururi,Fall 2024,BDI_2015_GAULx_40545,0.6074,0.9169,0.9827,15.707053,BDI_2017_ADM1_3
BDI,2020,2021,EICVMB,CONS,Cankuzo,Fall 2024,BDI_2015_GAUL1_40546,0.6272,0.8731,0.979,16.469768,BDI_2017_ADM1_4
BDI,2020,2021,EICVMB,CONS,Cibitoke,Fall 2024,BDI_2015_GAUL1_40547,0.5937,0.8635,0.9878,16.101374,BDI_2017_ADM1_5
BDI,2020,2021,EICVMB,CONS,Gitega,Fall 2024,BDI_2015_GAUL1_40548,0.5248,0.8342,0.9551,13.889897,BDI_2017_ADM1_6
BDI,2020,2021,EICVMB,CONS,Karuzi,Fall 2024,BDI_2015_GAUL1_40549,0.7456,0.9567,0.9922,19.491331,BDI_2017_ADM1_7
BDI,2020,2021,EICVMB,CONS,Kayanza,Fall 2024,BDI_2015_GAUL1_40550,0.5222,0.8389,0.981,14.540576,BDI_2017_ADM1_8
BDI,2020,2021,EICVMB,CONS,Kirundo,Fall 2024,BDI_2015_GAUL1_40551,0.7325,0.9369,0.9937,19.212838,BDI_2017_ADM1_9
BEL,2021,2021,EU-SILC,INC,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (BE1),Fall 2024,BEL_2021_NUTS1_BE1,0,0.0024,0.0035,0.86650229,BEL_2015_ADM1_600
BEL,2021,2021,EU-SILC,INC,Vlaams Gewest (BE2),Fall 2024,BEL_2021_NUTS1_BE2,0,0.0008,0.0026,0.57306946,BEL_2015_ADM1_601
BEL,2021,2021,EU-SILC,INC,Région wallonne (BE3),Fall 2024,BEL_2021_NUTS1_BE3,0,0.0014,0.0018,0.69566414,BEL_2015_ADM1_602
BEN,2021,2021,EHCVM,CONS,Alibori,Fall 2024,BEN_2015_GAUL1_609,0.1672,0.5919,0.9119,8.1346978,BEN_2015_ADM1_609
BEN,2021,2021,EHCVM,CONS,Oueme,Fall 2024,BEN_2015_GAUL1_618,0.0227,0.208,0.6341,4.9108877,BEN_2015_ADM1_618
BEN,2021,2021,EHCVM,CONS,Plateau,Fall 2024,BEN_2015_GAUL1_619,0.1264,0.4371,0.8127,6.9529126,BEN_2015_ADM1_619
BEN,2021,2021,EHCVM,CONS,Zou,Fall 2024,BEN_2015_GAUL1_620,0.1442,0.5911,0.9342,8.2569198,BEN_2015_ADM1_620
BEN,2021,2021,EHCVM,CONS,Atakora,Fall 2024,BEN_2015_GAUL1_610,0.2147,0.628,0.8452,8.2789113,BEN_2015_ADM1_610
BEN,2021,2021,EHCVM,CONS,Atlantique,Fall 2024,BEN_2015_GAUL1_611,0.0781,0.3015,0.7266,5.9447353,BEN_2015_ADM1_611
BEN,2021,2021,EHCVM,CONS,Borgou,Fall 2024,BEN_2015_GAUL1_612,0.2846,0.5881,0.9106,9.5021808,BEN_2015_ADM1_612
BEN,2021,2021,EHCVM,CONS,Collines,Fall 2024,BEN_2015_GAUL1_613,0.0457,0.3484,0.8628,6.2753838,BEN_2015_ADM1_613
BEN,2021,2021,EHCVM,CONS,Couffo,Fall 2024,BEN_2015_GAUL1_614,0.2237,0.6811,0.9522,9.1260014,BEN_2015_ADM1_614
BEN,2021,2021,EHCVM,CONS,Donga,Fall 2024,BEN_2015_GAUL1_615,0.2667,0.5996,0.9439,9.2256911,BEN_2015_ADM1_615
BEN,2021,2021,EHCVM,CONS,Littoral,Fall 2024,BEN_2015_GAUL1_616,0.0182,0.1214,0.5234,4.1885227,BEN_2015_ADM1_616
BEN,2021,2021,EHCVM,CONS,Mono,Fall 2024,BEN_2015_GAUL1_617,0.2003,0.5824,0.9254,8.5004757,BEN_2015_ADM1_617
BFA,2021,2021,EHCVM,CONS,Boucle Du Mouhoun,Fall 2024,BFA_2015_GAUL1_40276,0.4029,0.8087,0.965,10.962022,BFA_2015_ADM1_40276
BFA,2021,2021,EHCVM,CONS,Nord,Fall 2024,BFA_2015_GAUL1_40285,0.4331,0.8092,0.9704,11.887433,BFA_2015_ADM1_40285
BFA,2021,2021,EHCVM,CONS,Plateau Central,Fall 2024,BFA_2015_GAUL1_40286,0.2495,0.725,0.9619,9.3520742,BFA_2015_ADM1_40286
BFA,2021,2021,EHCVM,CONS,Sahel,Fall 2024,BFA_2015_GAUL1_40287,0.5482,0.8286,0.9682,12.494555,BFA_2015_ADM1_40287
BFA,2021,2021,EHCVM,CONS,Sud-ouest,Fall 2024,BFA_2015_GAUL1_40288,0.2958,0.6674,0.8961,9.2977719,BFA_2015_ADM1_40288
BFA,2021,2021,EHCVM,CONS,Cascades,Fall 2024,BFA_2015_GAUL1_40277,0.1421,0.6627,0.9333,8.1461382,BFA_2015_ADM1_40277
BFA,2021,2021,EHCVM,CONS,Centre,Fall 2024,BFA_2015_GAUL1_40278,0.0186,0.1715,0.6214,4.5919752,BFA_2015_ADM1_40278
BFA,2021,2021,EHCVM,CONS,Centre-est,Fall 2024,BFA_2015_GAUL1_40279,0.174,0.5076,0.8381,7.7108714,BFA_2015_ADM1_40279
BFA,2021,2021,EHCVM,CONS,Centre-nord,Fall 2024,BFA_2015_GAUL1_40280,0.2346,0.6534,0.9092,9.2717703,BFA_2015_ADM1_40280
BFA,2021,2021,EHCVM,CONS,Centre-ouest,Fall 2024,BFA_2015_GAUL1_40281,0.2887,0.6838,0.9219,9.274237,BFA_2015_ADM1_40281
BFA,2021,2021,EHCVM,CONS,Centre-sud,Fall 2024,BFA_2015_GAUL1_40282,0.2602,0.6473,0.9121,9.3084827,BFA_2015_ADM1_40282
BFA,2021,2021,EHCVM,CONS,Est,Fall 2024,BFA_2015_GAUL1_40283,0.3585,0.7637,0.9729,10.38318,BFA_2015_ADM1_40283
BFA,2021,2021,EHCVM,CONS,Hauts-bassins,Fall 2024,BFA_2015_GAUL1_40284,0.205,0.5168,0.8488,8.0954129,BFA_2015_ADM1_40284
BGD,2022,2021,HIES,CONS,Barisal,Fall 2024,BGD_2015_GAUL1_575,0.1032,0.4812,0.8829,7.3130405,BGD_2015_ADM1_575
BGD,2022,2021,HIES,CONS,Chittagong,Fall 2024,BGD_2015_GAUL1_576,0.0491,0.2634,0.7203,5.6005915,BGD_2015_ADM1_576
BGD,2022,2021,HIES,CONS,Dhaka,Fall 2024,BGD_2015_GAUL1_577,0.0231,0.1873,0.6407,4.8668057,BGD_2015_ADM1_577
BGD,2022,2021,HIES,CONS,Khulna,Fall 2024,BGD_2015_GAUL1_578,0.0758,0.429,0.8406,6.8643865,BGD_2015_ADM1_578
BGD,2022,2021,HIES,CONS,Rajshahi,Fall 2024,BGD_2015_GAUL1_61362,0.0433,0.3416,0.823,6.2460837,BGD_2015_ADM1_61362
BGD,2022,2021,HIES,CONS,Rangpur,Fall 2024,BGD_2015_GAUL1_61363,0.1313,0.5256,0.9022,7.7197673,BGD_2015_ADM1_61363
BGD,2022,2021,HIES,CONS,Sylhet,Fall 2024,BGD_2015_GAUL1_580,0.0821,0.4367,0.8602,6.8685104,BGD_2015_ADM1_580
BGR,2021,2021,EU-SILC,INC,Severna i Yugoiztochna Bulgaria (BG3),Fall 2024,BGR_2021_NUTS1_BG3,0.0069,0.0162,0.0591,1.5419524,BGR_2015_ADMx_NUTS_BG3
BGR,2021,2021,EU-SILC,INC,Yugozapadna i Yuzhna tsentralna Bulgaria (BG4),Fall 2024,BGR_2021_NUTS1_BG4,0.007,0.0241,0.0562,1.3850003,BGR_2015_ADMx_NUTS_BG4
BIH,2011,2021,HBS,CONS,Federacija Bosne I Hercegovine,Fall 2024,BIH_2015_GAUL1_652,0.0009,0.0045,0.0343,1.4091053,BIH_2015_ADM1_652
BIH,2011,2021,HBS,CONS,Republika Srpska,Fall 2024,BIH_2015_GAULx_653,0,0.0022,0.0349,1.4963591,BIH_2015_ADM1_653
BIH,2011,2021,HBS,CONS,Brcko,Fall 2024,BIH_2015_GAUL2_6262,0,0,0.0218,1.3567014,BIH_2015_ADM2_6262
BLR,2020,2021,HHS,CONS,Brest,Fall 2024,BLR_2015_GAUL1_593,0,0,0.0056,1.548047,BLR_2015_ADM1_593
BLR,2020,2021,HHS,CONS,Vitebsk,Fall 2024,BLR_2015_GAUL1_599,0,0,0.0081,1.5552622,BLR_2015_ADM1_599
BLR,2020,2021,HHS,CONS,Gomel,Fall 2024,BLR_2015_GAUL1_594,0,0,0.0198,1.634002,BLR_2015_ADM1_594
BLR,2020,2021,HHS,CONS,Grodno,Fall 2024,BLR_2015_GAUL1_595,0,0,0.0034,1.4963217,BLR_2015_ADM1_595
BLR,2020,2021,HHS,CONS,Minsk City,Fall 2024,BLR_2015_GAUL1_597,0,0,0.0011,1.1704667,BLR_2015_ADM1_597
BLR,2020,2021,HHS,CONS,Minsk,Fall 2024,BLR_2015_GAUL1_596,0,0.0026,0.0148,1.5806728,BLR_2015_ADM1_596
BLR,2020,2021,HHS,CONS,Mogilev,Fall 2024,BLR_2015_GAUL1_598,0,0.0023,0.0269,1.7028219,BLR_2015_ADM1_598
BLZ,1999,2021,LFS,INC,National,Fall 2024,BLZ_2020_WB0,0.2017,0.4022,0.6849,,
BOL,2021,2021,EH,INC,Chuquisaca,Fall 2024,BOL_2015_GAUL1_40444,0.1053,0.2164,0.343,4.9591089,BOL_2015_ADM1_40444
BOL,2021,2021,EH,INC,La Paz,Fall 2024,BOL_2015_GAUL1_40446,0.0029,0.0327,0.1342,2.2082853,BOL_2015_ADM1_40446
